parameter,estimate,se,ci_lower,ci_upper
tvCL,3.0295755220658673,0.10006846414946637,2.833444936344675,3.2257061077870595
tvV,32.37873641657377,1.9582784537302154,28.54058117556176,36.21689165758579
WTonCL,0.6588846306635001,0.1501928856597936,0.36451198403616175,0.9532572772908385
WTonV,1.3209065283947166,0.18917948641572788,0.9501215484061049,1.6916915083833284
AGEonCL,-0.5342836552065008,0.10681642882506677,-0.7436400086608181,-0.32492730175218343
AGEonV,0.052978547391795854,0.1297233258473561,-0.20127449922377644,0.30723159400736816
SEXonCL,0.9041511196942107,0.05427279080218184,0.7977784043814574,1.010523835006964
SEXonV,0.9468742112980338,0.06875020142872279,0.8121262925678627,1.081622130028205
"Ω₁,₁",0.03052295500812619,0.011593654543340992,0.00779980965397864,0.05324610036227374
"Ω₂,₂",0.04607551136755964,0.014407575158162246,0.017837182953007617,0.07431383978211167
σ₁,0.22436697865236285,0.016998932515729426,0.19104968314590626,0.25768427415881945
