parameter,estimate,se,ci_lower,ci_upper
tvCL,2.8769878040018484,0.08705989517248297,2.706353544965949,3.047622063037748
tvV,32.32918227236077,1.221738214436528,29.934619373528896,34.72374517119264
WTonCL,0.75,NaN,NaN,NaN
WTonV,1.0,NaN,NaN,NaN
AGEonCL,-0.5288873388224896,0.09613487266150032,-0.7173082268973748,-0.3404664507476044
AGEonV,0.0,NaN,NaN,NaN
SEXonCL,1.0,NaN,NaN,NaN
SEXonV,1.0,NaN,NaN,NaN
"Ω₁,₁",0.033929141831567616,0.01132017063587139,0.011742015086411772,0.05611626857672346
"Ω₂,₂",0.050125575720533826,0.014699306469707902,0.02131546444218968,0.07893568699887797
σ₁,0.2236923543687226,0.01646805656195636,0.19141555661191956,0.2559691521255256
